DeviceID,DeviceType,ActiveHours,PowerUsage,Temperature,SignalStrength,FirmwareAge,Power6Months,PowerPerHour
1,Light,6.99,71.79,29.73,-46.62,43,307650.33,10.2676
2,Sensor,9.56,45.46,33.59,-60.82,26,195533.56,4.7574
3,Sensor,11.15,37.74,34.15,-61.35,30,163864.03,3.3848
4,Camera,13.29,50.32,17.73,-77.71,52,216855.53,3.7873
5,Camera,11.59,24.36,15.97,-50.38,22,104439.05,2.1014
6,Light,12.74,43.21,33.91,-46.27,7,187351.63,3.3905
7,Plug,12.67,37.05,26.79,-43.91,24,159302.44,2.9236
8,Plug,15.07,54.65,32.89,-76.58,13,235146.3,3.6277
9,Sensor,13.84,71.79,37.51,-65.59,36,310113.18,5.1877
10,Speaker,9.1,100.46,39.68,-52.2,52,432861.31,11.0398
11,Camera,15.43,83.67,36.28,-47.96,47,359688.9,5.4242
12,Speaker,14.58,43.41,33.82,-53.3,20,187621.8,2.9771
13,Light,15.36,29.53,46.47,-54.51,1,127615.59,1.9218
14,Speaker,9.32,54.42,42.9,-46.63,4,235266.08,5.8375
15,Light,5.12,57.67,39.18,-45.42,8,249775.0,11.2738
16,Camera,14.25,62.07,33.22,-76.76,20,268282.48,4.3552
17,Plug,9.5,26.08,36.97,-87.32,13,114704.67,2.7461
18,Sensor,6.24,40.08,21.63,-72.52,51,174186.65,6.4265
19,Camera,9.43,52.96,48.5,-46.53,31,231563.05,5.6152
20,Light,15.33,84.35,20.69,-61.12,49,362089.96,5.5012
21,Plug,15.05,87.71,35.09,-63.92,54,380795.27,5.8274
22,Sensor,17.41,38.3,41.76,-58.6,42,168424.26,2.2006
23,Plug,14.74,26.88,28.45,-63.76,31,118718.62,1.8242
24,Light,11.11,79.72,36.08,-60.64,53,343150.05,7.1761
25,Sensor,13.99,62.32,46.28,-50.66,13,269471.87,4.4557
26,Sensor,11.39,57.99,41.9,-63.16,55,250023.94,5.0909
27,Camera,6.54,79.02,41.06,-52.64,19,338508.3,12.0884
28,Plug,16.82,74.14,35.12,-60.43,8,320234.02,4.4082
29,Light,10.41,72.69,35.13,-68.26,59,315141.87,6.9813
30,Light,19.09,44.39,32.81,-59.59,24,191229.86,2.3259
31,Camera,15.99,50.86,21.55,-73.67,53,218037.43,3.1803
32,Sensor,6.4,34.9,49.23,-25.0,58,147687.66,5.45
33,Plug,14.39,64.93,57.72,-69.34,46,281848.61,4.5106
34,Sensor,12.29,58.84,36.75,-66.0,9,254605.29,4.7874
35,Light,12.16,59.16,31.66,-56.75,18,256289.97,4.8642
36,Camera,9.11,91.87,40.15,-32.27,44,396500.33,10.0814
37,Plug,12.68,48.61,57.09,-69.79,7,209549.66,3.8321
38,Speaker,19.24,33.96,37.74,-28.32,14,148079.57,1.7653
39,Sensor,8.89,58.71,41.39,-67.99,45,256150.99,6.601
40,Camera,6.63,66.15,27.21,-80.02,54,286421.15,9.977
41,Sensor,11.19,68.85,36.92,-58.12,11,296922.63,6.1514
42,Plug,15.22,16.5,37.99,-58.06,31,71551.56,1.0844
43,Speaker,12.59,19.83,46.92,-68.22,11,86781.61,1.5759
44,Sensor,12.59,38.39,23.75,-62.78,9,167775.26,3.0488
45,Plug,14.33,40.86,47.54,-75.86,57,175319.24,2.8503
46,Speaker,11.44,55.3,41.27,-64.71,49,238451.86,4.8339
47,Camera,12.78,,34.66,-54.24,60,199764.19,3.62
48,Camera,10.58,66.55,32.03,-74.78,17,288621.14,6.2897
49,Light,16.11,38.07,48.46,-67.63,30,163498.92,2.3635
50,Plug,19.53,49.31,29.2,-72.52,25,212358.36,2.5252
51,Plug,1.0,58.37,27.41,-48.57,49,251202.28,58.3741
52,Sensor,11.74,53.74,35.5,-47.06,47,231358.88,4.5786
53,Light,16.26,21.68,38.46,-43.2,36,90922.06,1.3333
54,Camera,8.74,77.33,40.82,-59.55,39,334901.06,8.8459
55,Light,18.28,52.19,39.45,-62.27,31,223855.71,2.8557
56,Sensor,8.52,48.42,49.19,-37.95,6,209201.7,5.6825
57,Sensor,10.96,13.76,18.84,-44.66,7,60623.61,1.2553
58,Light,20.31,56.77,52.29,-58.29,50,247192.58,2.7957
59,Sensor,13.61,84.03,43.75,-47.29,11,362540.32,6.1757
60,Camera,9.17,82.78,28.87,-57.89,43,357496.46,9.0294
61,Camera,13.72,62.36,47.41,-59.04,10,269586.21,4.5461
62,Plug,,33.35,55.99,-78.4,38,143335.24,5.4483
63,Camera,8.72,69.73,42.66,-59.97,10,304217.04,7.9962
64,Sensor,15.11,70.64,47.17,-73.7,28,305587.55,4.675
65,Plug,13.27,64.68,39.73,-38.22,13,278750.43,4.8747
66,Sensor,9.8,52.38,41.4,-54.06,5,225251.13,5.3427
67,Sensor,13.8,63.72,36.9,-54.42,41,275454.47,4.6181
68,Light,10.9,41.42,33.48,-51.17,51,180549.16,3.7989
69,Camera,12.65,57.19,36.34,-50.8,22,247957.9,4.5223
70,Plug,17.78,79.97,32.81,-60.76,3,346564.15,4.4985
71,Plug,13.31,88.1,48.66,-49.55,42,381323.56,6.6187
72,Camera,16.16,75.87,41.17,-44.6,9,327930.08,4.6964
73,Plug,15.09,104.49,38.61,-55.1,30,452227.49,6.9243
74,Speaker,14.39,44.09,20.06,-66.93,13,189623.39,3.0635
75,Speaker,9.39,30.61,39.74,-54.5,16,130890.35,3.2591
76,Camera,13.73,45.58,30.71,-67.12,49,198614.29,3.32
77,Light,10.21,61.56,36.72,-66.24,41,265419.74,6.0295
78,Speaker,15.69,30.28,35.92,-45.25,35,131773.6,1.9292
79,Light,11.74,46.03,34.68,-48.45,37,196152.12,3.9216
80,Light,16.6,10.8,57.18,-49.39,27,47335.58,0.6504
81,Sensor,13.42,71.38,34.74,-41.77,3,306938.68,5.3188
82,Light,19.7,33.64,21.59,-30.41,53,144738.95,1.7076
83,Light,14.79,54.45,49.57,-59.62,9,234134.2,3.6829
84,Plug,10.17,82.14,26.4,-45.51,41,352876.95,8.0755
85,Light,5.03,39.65,39.69,-52.33,58,171715.73,7.8779
86,Camera,12.72,49.2,45.15,-43.13,1,211558.15,3.8665
87,Light,13.7,52.2,41.87,-44.15,48,226909.6,3.8089
88,Light,15.1,12.18,48.17,-35.6,8,54324.69,0.8066
89,Light,13.16,47.65,48.22,-56.28,17,205106.94,3.6204
90,Light,13.44,106.49,39.03,-49.3,8,457568.61,7.9224
91,Light,12.67,49.52,53.43,-64.46,24,215137.61,3.9096
92,Light,19.26,62.18,41.65,-57.33,45,268121.0,3.2286
93,Speaker,10.17,59.83,36.29,-36.79,1,258302.44,5.8823
94,Plug,5.22,59.12,55.27,-69.64,4,256396.7,11.3168
95,Camera,12.41,58.73,27.35,-43.86,7,254767.48,4.7327
96,Light,14.57,36.35,23.8,-44.82,47,157640.85,2.4944
97,Light,22.07,55.41,50.81,-53.76,30,241185.78,2.5102
98,Plug,,51.22,45.87,-38.37,26,221138.13,4.8494
99,Camera,15.8,106.99,28.72,-48.55,55,464124.61,6.7726
100,Speaker,11.56,49.51,41.39,-55.9,37,211424.05,4.2837
101,Camera,10.23,61.22,40.97,-64.45,19,262915.3,5.9835
102,Camera,16.43,81.62,34.05,-49.18,28,353553.49,4.9685
103,Sensor,22.44,90.09,40.27,-59.18,49,388578.89,4.0147
104,Light,6.57,79.36,44.29,-61.83,47,342497.12,12.0727
105,Light,7.8,68.83,50.13,-64.97,21,297139.64,8.826
106,Sensor,10.97,72.59,38.64,-70.76,39,313108.54,6.6168
107,Sensor,12.34,35.95,44.9,-58.68,59,155215.02,2.913
108,Light,11.63,64.97,39.6,-39.05,40,279970.66,5.5862
109,Light,16.41,71.89,37.22,-65.28,8,308051.59,4.3802
110,Camera,9.59,16.73,49.35,-36.14,34,73404.18,1.7441
111,Plug,10.47,44.16,27.85,-66.59,33,192492.86,4.2193
112,Speaker,14.84,49.4,35.29,-54.8,31,213280.79,3.3294
113,Plug,11.19,34.45,31.7,-38.59,6,149338.45,3.0791
114,Light,13.33,8.68,41.53,-53.94,55,37723.27,0.6511
115,Plug,10.54,70.85,26.94,-71.08,34,306752.88,6.7201
116,Camera,,38.42,43.0,-60.86,34,165723.87,2.1559
117,Camera,13.79,97.99,44.99,-67.96,25,422693.16,7.1039
118,Light,13.14,16.74,38.81,-56.99,45,73407.87,1.2736
119,Sensor,11.88,51.56,44.36,-40.76,16,219678.56,4.339
120,Light,10.28,50.06,54.49,-70.95,21,216535.41,4.8681
121,Light,11.2,34.56,31.65,-57.94,42,149036.63,3.086
122,Plug,7.6,26.41,33.34,-46.86,52,113348.18,3.4742
123,Plug,10.26,83.82,45.82,-39.39,33,361620.54,8.1736
124,Light,8.66,45.95,42.76,-53.73,37,199759.21,5.3032
125,Plug,11.91,29.87,53.64,-66.34,17,130704.71,2.5077
126,Camera,10.06,42.95,35.47,-54.64,9,186889.57,4.2694
127,Camera,4.26,92.63,38.04,-76.04,45,399942.13,21.7283
128,Camera,14.02,84.67,24.03,-42.93,15,366146.64,6.0405
129,Light,17.74,34.63,50.85,-53.82,52,148779.76,1.9521
130,Sensor,19.16,19.84,27.36,-39.77,37,84848.38,1.0357
131,Camera,16.02,52.51,41.43,-61.43,22,227323.65,3.278
132,Plug,13.49,72.75,43.45,-32.9,21,315355.23,5.3919
