DeviceType	ActiveHours	PowerUsage	Temperature	SignalStrength	FirmwareAge	Cluster
Light	6.99	71.79	29.73	-46.62	43	4
Sensor	9.56	45.46	33.59	-60.82	26	1
Sensor	11.15	37.74	34.15	-61.35	30	1
Camera	13.29	50.32	17.73	-77.71	52	2
Camera	11.59	24.36	15.97	-50.38	22	2
Light	12.74	43.21	33.91	-46.27	7	4
Plug	12.67	37.05	26.79	-43.91	24	0
Plug	15.07	54.65	32.89	-76.58	13	0
Sensor	13.84	71.79	37.51	-65.59	36	1
Speaker	9.1	100.46	39.68	-52.2	52	3
Camera	15.43	83.67	36.28	-47.96	47	2
Speaker	14.58	43.41	33.82	-53.3	20	3
Light	15.36	29.53	46.47	-54.51	1	4
Speaker	9.32	54.42	42.9	-46.63	4	3
Light	5.12	57.67	39.18	-45.42	8	4
Camera	14.25	62.07	33.22	-76.76	20	2
Plug	9.5	26.08	36.97	-87.32	13	0
Sensor	6.24	40.08	21.63	-72.52	51	1
Camera	9.43	52.96	48.5	-46.53	31	2
Light	15.33	84.35	20.69	-61.12	49	4
Plug	15.05	87.71	35.09	-63.92	54	0
Sensor	17.41	38.3	41.76	-58.6	42	1
Plug	14.74	26.88	28.45	-63.76	31	0
Light	11.11	79.72	36.08	-60.64	53	4
Sensor	13.99	62.32	46.28	-50.66	13	1
Sensor	11.39	57.99	41.9	-63.16	55	1
Camera	6.54	79.02	41.06	-52.64	19	2
Plug	16.82	74.14	35.12	-60.43	8	0
Light	10.41	72.69	35.13	-68.26	59	4
Light	19.09	44.39	32.81	-59.59	24	4
Camera	15.99	50.86	21.55	-73.67	53	2
Sensor	6.4	34.9	49.23	-25.0	58	1
Plug	14.39	64.93	57.72	-69.34	46	0
Sensor	12.29	58.84	36.75	-66.0	9	1
Light	12.16	59.16	31.66	-56.75	18	4
Camera	9.11	91.87	40.15	-32.27	44	2
Plug	12.68	48.61	57.09	-69.79	7	0
Speaker	19.24	33.96	37.74	-28.32	14	3
Sensor	8.89	58.71	41.39	-67.99	45	1
Camera	6.63	66.15	27.21	-80.02	54	2
Sensor	11.19	68.85	36.92	-58.12	11	1
Plug	15.22	16.5	37.99	-58.06	31	0
Speaker	12.59	19.83	46.92	-68.22	11	3
Sensor	12.59	38.39	23.75	-62.78	9	1
Plug	14.33	40.86	47.54	-75.86	57	0
Speaker	11.44	55.3	41.27	-64.71	49	3
Camera	12.78	54.825	34.66	-54.24	60	2
Camera	10.58	66.55	32.03	-74.78	17	2
Light	16.11	38.07	48.46	-67.63	30	4
Plug	19.53	49.31	29.2	-72.52	25	0
Plug	1.0	58.37	27.41	-48.57	49	0
Sensor	11.74	53.74	35.5	-47.06	47	1
Light	16.26	21.68	38.46	-43.2	36	4
Camera	8.74	77.33	40.82	-59.55	39	2
Light	18.28	52.19	39.45	-62.27	31	4
Sensor	8.52	48.42	49.19	-37.95	6	1
Sensor	10.96	13.76	18.84	-44.66	7	1
Light	20.31	56.77	52.29	-58.29	50	4
Sensor	13.61	84.03	43.75	-47.29	11	1
Camera	9.17	82.78	28.87	-57.89	43	2
Camera	13.72	62.36	47.41	-59.04	10	2
Plug	11.96	33.35	55.99	-78.4	38	0
Camera	8.72	69.73	42.66	-59.97	10	2
Sensor	15.11	70.64	47.17	-73.7	28	1
Plug	13.27	64.68	39.73	-38.22	13	0
Sensor	9.8	52.38	41.4	-54.06	5	1
Sensor	13.8	63.72	36.9	-54.42	41	1
Light	10.9	41.42	33.48	-51.17	51	4
Camera	12.65	57.19	36.34	-50.8	22	2
Plug	17.78	79.97	32.81	-60.76	3	0
Plug	13.31	88.1	48.66	-49.55	42	0
Camera	16.16	75.87	41.17	-44.6	9	2
Plug	15.09	104.49	38.61	-55.1	30	0
Speaker	14.39	44.09	20.06	-66.93	13	3
Speaker	9.39	30.61	39.74	-54.5	16	3
Camera	13.73	45.58	30.71	-67.12	49	2
Light	10.21	61.56	36.72	-66.24	41	4
Speaker	15.69	30.28	35.92	-45.25	35	3
Light	11.74	46.03	34.68	-48.45	37	4
Light	16.6	10.8	57.18	-49.39	27	4
Sensor	13.42	71.38	34.74	-41.77	3	1
Light	19.7	33.64	21.59	-30.41	53	4
Light	14.79	54.45	49.57	-59.62	9	4
Plug	10.17	82.14	26.4	-45.51	41	0
Light	5.03	39.65	39.69	-52.33	58	4
Camera	12.72	49.2	45.15	-43.13	1	2
Light	13.7	52.2	41.87	-44.15	48	4
Light	15.1	12.18	48.17	-35.6	8	4
Light	13.16	47.65	48.22	-56.28	17	4
Light	13.44	106.49	39.03	-49.3	8	4
Light	12.67	49.52	53.43	-64.46	24	4
Light	19.26	62.18	41.65	-57.33	45	4
