StudyHours	AttendanceRate	AssignmentsCompleted	OnlineActivity	SleepHours	SocialActivity	MidtermScore	FinalScore	Cluster
32.0	91.3	59.1	7.7	5.8	2.9	71.2	92.8	0
15.5	78.4	77.9	6.3	6.2	0.2	59.8	82.2	2
29.7	90.0	67.2	6.2	8.1	2.2	65.5	93.9	0
30.0	89.8	96.6	4.5	6.1	0.0	61.5	87.0	3
9.7	71.2	89.1	5.9	7.6	3.1	58.0	76.4	1
25.0	83.8	75.3	3.4	8.0	3.2	60.9	83.4	2
21.3	87.7	82.1	4.0	5.0	2.3	55.6	80.0	3
18.9	80.6	60.4	7.3	6.5	0.7	64.0	77.6	2
35.8	88.1	68.7	4.8	8.0	1.3	77.1	100.0	0
19.8	93.1	100.0	4.2	6.8	0.1	43.0	84.7	3
18.5	84.7	80.8	7.1	6.5	2.4	47.8	68.3	1
25.0	87.2	94.0	6.9	8.0	7.3	61.7	87.8	3
30.5	98.8	83.5	5.5	8.3	2.3	71.9	100.0	0
23.9	89.7	99.7	5.6	6.2	1.9	47.6	89.5	3
34.3	87.0	50.0	7.0	9.1	2.8	70.6	96.4	0
29.2	75.4	77.2	8.4	4.9	0.8	55.2	97.7	2
7.6	91.7	100.0	6.5	5.2	0.8	49.8	72.0	1
20.8	88.3	94.3	3.0	6.5	1.6	49.6	71.1	3
20.5	97.8	99.9	5.4	6.6	3.8	37.6	79.7	3
28.8	85.5	79.9	5.0	6.7	3.0	46.2	88.8	3
4.0	66.8	71.9	3.4	6.4	2.3	29.6	39.9	1
45.4	68.0	64.6	7.2	6.1	3.6	64.8	100.0	0
29.2	92.4	63.5	7.4	6.7	5.1	60.7	92.7	0
25.0	79.3	92.1	7.8	6.3	3.6	52.7	70.3	3
34.5	89.4	87.7	3.5	7.8	1.0	63.9	74.4	0
43.7	86.1	79.0	6.4	7.0	0.0	67.0	100.0	0
25.0	83.3	87.6	6.0	6.7	0.0	61.4	93.7	2
32.6	84.0	82.1	6.8	6.9	3.8	69.0	98.4	0
26.0	76.3	94.4	6.3	8.3	1.4	55.9	75.3	2
23.9	84.8	94.3	6.0	6.4	3.7	59.7	79.7	3
21.2	79.2	64.0	5.7	5.5	1.8	58.1	97.1	2
18.4	81.3	84.1	8.8	5.8	3.1	49.8	93.0	3
19.5	81.8	55.0	3.8	6.7	3.6	38.5	55.5	1
14.2	82.7	82.0	5.6	7.6	1.3	50.0	70.5	1
25.0	94.2	89.1	8.7	8.1	3.7	52.4	99.9	3
11.5	83.7	60.3	4.0	9.0	1.5	52.7	70.0	1
26.5	95.2	73.8	4.1	7.9	1.4	69.4	100.0	0
24.7	100.0	80.1	7.8	5.9	3.7	56.6	87.3	3
26.2	93.5	83.5	2.4	6.8	3.4	59.9	93.9	0
20.8	90.3	75.8	7.7	4.4	3.2	59.2	94.3	3
49.6	88.3	62.4	4.8	6.6	0.8	69.4	100.0	0
35.9	93.7	79.2	7.0	6.3	1.9	66.0	93.7	0
15.0	85.9	55.2	2.9	4.2	3.5	37.6	61.2	1
26.9	94.8	76.5	6.0	9.5	5.9	67.2	99.3	0
20.1	91.1	73.4	3.0	6.5	5.2	66.4	84.0	3
14.3	94.0	71.6	6.0	6.7	1.5	44.2	62.4	1
28.5	85.9	57.4	10.5	9.0	5.1	61.2	82.1	0
19.5	83.9	74.5	5.8	9.3	3.4	42.7	67.0	1
32.7	80.2	94.0	10.9	7.1	1.8	58.3	96.5	0
33.0	86.7	98.9	4.0	7.1	2.7	59.6	91.1	0
36.0	95.0	100.0	4.9	8.5	0.6	62.3	100.0	0
18.2	93.9	100.0	9.0	6.8	4.0	54.4	80.0	3
28.8	88.5	62.0	2.4	7.6	4.6	63.1	98.3	0
30.1	91.0	73.9	4.3	8.0	4.8	61.3	86.9	0
21.2	97.7	79.7	7.2	5.7	4.2	62.3	99.2	3
18.8	83.5	78.7	3.5	8.8	2.0	54.6	62.9	1
37.9	73.8	81.0	6.0	5.9	3.8	60.8	94.4	0
30.1	79.7	63.8	2.2	7.1	3.9	58.9	83.1	2
18.4	78.1	69.3	8.4	8.1	3.8	47.7	54.0	1
15.2	67.0	100.0	2.8	7.8	2.8	50.3	75.9	1
20.4	90.7	70.8	7.9	6.9	1.1	38.0	81.2	1
25.0	68.8	85.9	6.3	7.3	5.3	53.6	80.9	2
16.5	77.5	95.5	4.9	8.3	2.4	51.3	65.4	1
24.9	90.9	87.3	3.2	7.0	4.3	61.8	84.1	3
11.5	92.2	82.9	6.8	6.0	6.2	55.8	68.1	1
16.0	78.5	94.1	3.8	6.3	3.9	47.7	67.2	1
30.4	83.7	66.6	9.0	8.1	4.3	66.6	100.0	0
29.8	76.3	72.6	9.1	6.0	1.1	63.4	86.8	2
21.9	79.5	88.0	10.1	5.1	1.4	55.3	72.8	3
16.9	87.7	49.0	6.7	6.6	4.4	40.4	70.8	1
22.0	82.6	84.6	6.0	8.0	0.5	54.6	84.7	2
25.0	70.4	82.3	5.1	5.3	0.0	56.3	97.9	2
32.4	96.3	55.5	6.6	7.4	2.2	55.1	92.7	0
21.0	90.1	60.7	7.1	8.4	2.2	36.0	81.4	1
15.8	92.9	74.0	9.1	6.0	4.0	65.0	81.2	3
27.1	97.9	92.1	6.0	7.1	1.0	62.3	100.0	0
18.4	76.7	48.9	2.5	4.4	4.6	42.0	78.6	1
20.9	81.4	91.8	5.0	8.0	0.7	43.4	68.5	1
35.6	66.1	74.6	9.9	8.0	0.7	59.5	100.0	2
31.6	100.0	76.6	2.1	7.0	2.7	69.8	100.0	0
26.3	83.5	83.8	7.8	5.4	2.6	62.0	78.8	3
14.8	95.4	84.0	5.0	7.8	3.4	55.5	67.0	1
26.7	72.6	69.3	3.8	6.7	0.7	49.3	92.4	2
25.0	95.0	89.4	7.0	3.7	3.0	63.0	100.0	3
22.0	100.0	45.2	9.9	7.9	0.0	57.4	95.9	3
35.8	84.4	73.2	6.9	8.4	0.0	64.1	96.0	0
35.3	74.9	82.3	5.3	8.6	5.2	66.8	93.5	0
38.3	83.6	74.8	2.8	5.5	4.1	78.1	94.6	0
27.4	62.7	52.6	5.8	4.7	2.5	56.6	78.6	2
29.7	84.6	91.4	2.7	6.5	0.0	55.6	91.7	2
36.3	93.2	61.3	5.2	7.6	1.8	55.3	100.0	0
28.6	84.6	79.0	5.8	5.9	3.2	60.4	87.9	3
21.0	82.2	82.3	0.1	5.1	1.8	48.1	73.8	2
21.4	90.3	80.3	9.5	7.9	4.8	57.8	84.6	3
26.9	91.0	97.5	2.9	6.6	3.4	61.6	97.3	0
14.7	68.4	79.2	5.5	7.7	1.1	58.0	81.9	2
33.8	100.0	79.2	9.3	6.8	3.8	68.7	100.0	0
25.0	71.6	89.2	4.0	6.9	3.8	36.4	54.3	1
34.0	100.0	82.1	8.7	6.4	5.0	73.5	100.0	0
21.3	96.0	91.7	2.9	5.7	3.2	64.4	85.0	3
29.3	79.9	100.0	6.9	7.6	2.6	56.5	78.3	2
25.0	87.1	100.0	7.1	8.5	3.6	42.3	74.6	1
34.8	85.0	74.2	0.0	6.4	4.4	74.1	92.3	0
32.9	77.5	95.5	2.0	9.2	3.5	70.2	96.5	0
13.8	84.3	83.7	4.8	7.5	2.5	47.1	65.4	1
29.7	82.2	96.8	0.0	7.3	4.0	67.6	88.8	0
23.4	86.1	88.5	2.7	7.8	2.6	55.1	82.9	2
25.7	77.5	84.1	6.3	8.2	1.8	57.5	64.2	2
19.2	72.2	86.5	5.8	6.5	2.7	38.0	64.6	1
39.0	84.6	83.8	6.8	7.7	2.0	76.1	100.0	0
33.3	100.0	84.4	7.1	8.3	2.4	51.8	100.0	0
19.1	85.8	77.6	1.8	6.5	1.2	65.1	87.3	2
14.3	81.7	76.2	6.0	7.0	4.0	61.7	83.9	3
21.9	92.5	100.0	7.9	6.1	2.8	36.2	64.0	1
26.9	100.0	71.4	3.6	6.6	3.2	58.4	94.4	3
35.0	85.0	75.8	6.6	5.9	1.1	67.2	96.2	0
31.3	92.0	95.8	8.0	6.9	4.5	51.7	92.3	3
32.8	77.5	69.0	6.6	7.4	2.2	58.8	100.0	0
27.6	90.0	57.8	5.4	7.5	2.0	50.4	88.1	2
13.9	87.8	58.9	4.4	6.0	2.8	42.7	68.5	1
23.4	84.4	54.1	11.0	6.3	2.9	64.4	92.9	3
33.5	80.0	60.5	6.2	8.0	6.4	69.6	95.0	0
24.6	78.6	62.3	7.0	6.3	3.4	61.4	77.8	2
29.0	87.8	100.0	6.8	8.0	1.8	55.9	100.0	0
22.5	91.3	79.3	4.0	6.1	5.3	50.4	69.1	3
16.8	83.7	74.6	6.1	7.5	0.1	37.8	69.0	1
24.0	87.9	58.3	5.2	7.9	1.8	61.3	86.2	2
27.5	84.6	77.9	5.1	3.8	1.7	72.8	87.6	0
19.8	86.0	53.9	6.8	8.0	2.5	63.6	71.7	2
23.1	83.0	74.5	3.7	8.6	3.0	55.0	80.4	2
17.5	85.2	100.0	3.0	6.6	3.2	54.6	78.6	3
25.0	100.0	90.0	7.3	7.4	3.1	67.3	100.0	0
22.6	88.1	76.9	4.7	6.0	3.4	62.0	78.9	3
25.0	91.5	90.5	5.1	7.4	2.4	79.3	100.0	0
37.2	89.4	72.2	1.2	10.0	4.4	62.1	100.0	0
24.4	82.4	68.0	6.0	4.4	0.1	51.6	78.4	3
16.9	97.9	100.0	7.3	6.4	0.0	50.2	75.4	3
8.3	82.1	62.9	7.8	8.0	3.6	43.3	69.8	1
13.2	95.6	74.7	7.0	8.5	2.0	54.7	61.3	1
36.0	75.4	66.0	6.6	6.2	4.1	56.9	100.0	0
25.9	88.7	89.8	4.5	6.3	3.4	51.4	79.9	3
28.1	74.0	75.4	3.6	6.2	1.8	48.4	77.7	2
7.2	90.4	90.0	7.3	6.9	3.5	43.2	57.7	1
15.4	73.1	88.8	10.1	5.3	1.9	55.3	67.9	1
27.3	70.7	100.0	7.6	5.9	2.0	60.3	85.9	2
23.8	100.0	70.0	5.9	6.9	2.9	49.7	95.3	3
29.5	68.5	100.0	5.5	6.2	2.1	48.6	75.4	2
38.1	85.1	97.6	3.7	6.8	4.0	67.7	98.6	0
23.2	96.4	100.0	5.3	5.8	3.2	66.2	90.3	3
25.6	95.4	82.6	8.3	8.1	1.7	64.8	100.0	0
26.5	93.5	68.2	10.6	6.6	1.8	53.9	85.9	3
44.1	81.8	100.0	4.0	7.0	0.6	87.6	100.0	0
