StudentID,Age,StudyHours,AttendanceRate,AssignmentsCompleted,OnlineActivity,SleepHours,SocialActivity,MidtermScore,FinalScore,GPA,GradePoints,PerformanceIndex,Major,City,Gender
1,24,32.0,91.3,59.1,7.7,5.8,2.9,71.2,92.8,3.67,91.87,82.0,IT,Cần Thơ,Female
2,21,15.5,78.4,77.9,6.3,6.2,0.2,59.8,82.2,2.94,73.52,70.98,CE,Hà Nội,Male
3,30,29.7,90.0,67.2,6.2,8.1,2.2,65.5,93.9,3.61,90.34,79.68,SE,Hà Nội,Male
4,28,30.0,89.8,96.6,4.5,6.1,0.0,61.5,87.0,3.74,93.57,74.24,CS,Cần Thơ,Male
5,25,9.7,71.2,89.1,5.9,7.6,3.1,58.0,76.4,3.2,80.04,67.24,CS,Đà Nẵng,Male
6,30,,83.8,75.3,3.4,8.0,3.2,60.9,83.4,3.44,86.06,72.18,SE,TP.HCM,Female
7,22,21.3,87.7,82.1,4.0,5.0,2.3,55.6,80.0,3.32,82.97,67.79,DS,Đà Nẵng,Male
8,24,18.9,80.6,60.4,7.3,6.5,0.7,64.0,77.6,3.1,77.59,70.81,CE,Cần Thơ,Male
9,27,35.8,88.1,68.7,4.8,8.0,1.3,77.1,100.0,3.91,97.65,88.55,AI,Đà Nẵng,Male
10,20,19.8,93.1,100.0,4.2,6.8,0.1,43.0,84.7,3.23,80.71,63.85,CE,Cần Thơ,Male
11,24,18.5,84.7,80.8,7.1,6.5,2.4,47.8,68.3,2.64,65.99,58.06,AI,Đà Nẵng,Male
12,28,,87.2,94.0,6.9,8.0,7.3,61.7,87.8,3.54,88.47,74.72,IT,Đà Nẵng,Male
13,28,30.5,98.8,83.5,5.5,8.3,2.3,71.9,100.0,3.85,96.14,85.95,DS,Huế,Male
14,25,23.9,89.7,99.7,5.6,6.2,1.9,47.6,89.5,3.58,89.55,68.54,DS,TP.HCM,Female
15,22,34.3,87.0,50.0,7.0,9.1,2.8,70.6,96.4,3.87,96.8,83.5,CS,Hà Nội,Male
16,21,29.2,75.4,77.2,8.4,4.9,0.8,55.2,97.7,3.87,96.8,76.46,IT,Huế,Female
17,25,7.6,91.7,100.0,6.5,5.2,0.8,49.8,72.0,2.55,63.82,60.93,SE,Cần Thơ,Male
18,25,20.8,88.3,94.3,3.0,6.5,1.6,49.6,71.1,2.63,65.83,60.33,DS,Cần Thơ,Female
19,20,20.5,97.8,99.9,5.4,6.6,3.8,37.6,79.7,3.15,78.85,58.61,AI,Hà Nội,Male
20,23,28.8,85.5,79.9,5.0,6.7,3.0,46.2,88.8,3.13,78.16,67.5,DS,Huế,Male
21,22,4.0,66.8,71.9,3.4,6.4,2.3,29.6,39.9,1.8,45.06,34.76,CS,Huế,Male
22,19,45.4,68.0,64.6,7.2,6.1,3.6,64.8,100.0,4.0,100.0,82.4,DS,TP.HCM,Female
23,25,29.2,92.4,63.5,7.4,6.7,5.1,60.7,92.7,3.88,96.93,76.71,SE,Huế,Male
24,29,,79.3,92.1,7.8,6.3,3.6,52.7,70.3,2.87,71.74,61.49,AI,Huế,Male
25,23,34.5,89.4,87.7,3.5,7.8,1.0,63.9,74.4,2.73,68.24,69.15,IT,Cần Thơ,Male
26,19,43.7,86.1,79.0,6.4,7.0,0.0,67.0,100.0,4.0,100.0,83.51,IT,TP.HCM,Female
27,29,,83.3,87.6,6.0,6.7,0.0,61.4,93.7,4.0,100.0,77.59,DS,TP.HCM,Male
28,22,32.6,84.0,82.1,6.8,6.9,3.8,69.0,98.4,3.71,92.73,83.71,CS,Huế,Male
29,18,26.0,76.3,94.4,6.3,8.3,1.4,55.9,75.3,3.52,88.05,65.58,IT,Huế,Male
30,29,23.9,84.8,94.3,6.0,6.4,3.7,59.7,79.7,3.35,83.76,69.68,AI,Hà Nội,Female
31,27,21.2,79.2,64.0,5.7,5.5,1.8,58.1,97.1,3.67,91.81,77.62,CS,Huế,Male
32,23,18.4,81.3,84.1,8.8,5.8,3.1,49.8,93.0,3.52,87.9,71.38,CS,Đà Nẵng,Female
33,30,19.5,81.8,55.0,3.8,6.7,3.6,38.5,55.5,2.12,52.93,46.96,DS,Cần Thơ,Male
34,29,14.2,82.7,82.0,5.6,7.6,1.3,50.0,70.5,2.81,70.21,60.21,CS,Đà Nẵng,Male
35,26,,94.2,89.1,8.7,8.1,3.7,52.4,99.9,3.92,97.99,76.12,CE,TP.HCM,Female
36,18,11.5,83.7,60.3,4.0,9.0,1.5,52.7,70.0,2.24,55.98,61.32,SE,Cần Thơ,Female
37,28,26.5,95.2,73.8,4.1,7.9,1.4,69.4,100.0,3.74,93.49,84.71,SE,Đà Nẵng,Female
38,28,24.7,100.0,80.1,7.8,5.9,3.7,56.6,87.3,3.49,87.31,71.97,CE,Huế,Male
39,27,26.2,93.5,83.5,2.4,6.8,3.4,59.9,93.9,3.79,94.85,76.9,CS,Đà Nẵng,Male
